188
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PES|PAN_MC|PRI_PVEM_PANAL|PRI_PVEM|PRI_PANAL|PVEM_PANAL|PT_MORENA_PES|PT_MORENA|PT_PES|MORENA_PES|CNR|NULOS|TOTAL|MVD|MSR|JEZC|JJDM|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
31|1|55|B|1|0|1|422|12|15|0||4|Estrato 4|14|113|126|1|3|2|36|1|30|0|1|0|1|0|0|1|1|0|0|0|3|319|150|131|1|34|2018|7|1|21|16|39|1|N
31|1|56|B|1|0|1|408|12|15|343|Estrato 343|4|Estrato 4|14|133|174|0|0|3|19|0|14|1|2|0|1|0|0|0|1|0|0|0|1|349|154|175|0|19|2018|7|1|23|42|17|1|N
31|1|65|C|1|0|1|574|14|11|345|Estrato 345|6|Estrato 6|19|136|274|1|2|2|1|1|83|1|1|0|0|0|0|1|0|0|2|0|0|505|138|277|1|89|2018|7|1|22|42|28|1|N
31|1|66|B|1|0|3|212|14|11|0||6|Estrato 6|19|58|119|0|1|1|1|0|28|0|2|0|0|0|0|0|0|0|0|0|2|212|61|120|0|29|2018|7|1|20|10|5|1|N
31|1|71|E|2|0|2|229|17|14|0||6|Estrato 6|25|4|143|0|0|0|54|0|15|0|0|0|0|0|0|0|0|0|0|0|0|216|58|143|0|15|2018|7|1|21|59|32|1|N
31|1|72|C|1|0|3|413|17|14|0||6|Estrato 6|26|9|214|0|0|0|63|0|6|0|0|0|0|0|0|0|0|0|0|0|1|293|72|214|0|6|2018|7|1|19|17|36|1|N
31|1|79|C|1|0|1|640|19|11|0||6|Estrato 6|32|238|200|4|0|11|2|0|76|1|1|0|0|0|0|0|0|0|0|0|5|538|241|200|4|88|2018|7|1|20|39|22|1|N
31|1|81|C|2|0|1|692|19|11|0||6|Estrato 6|34|286|188|4|0|5|1|1|75|2|1|0|0|1|0|1|0|0|0|0|7|572|288|190|4|83|2018|7|1|23|14|37|1|N
31|1|82|B|1|0|3|498|19|11|0||6|Estrato 6|36|207|155|0|0|3|3|0|73|2|0|0|0|0|0|3|0|0|0|0|1|447|210|155|0|81|2018|7|1|22|18|19|1|N
31|1|90|B|1|0|3|392|19|11|345|Estrato 345|6|Estrato 6|33|157|133|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|290|157|133|0|0|2018|7|1|22|12|56|1|N
31|1|93|B|1|0|1|719|21|11|0||6|Estrato 6|41|171|320|1|14|2|1|0|75|1|0|0|1|0|0|0|0|0|0|0|7|593|172|335|1|78|2018|7|1|21|25|8|1|N
31|1|93|C|1|0|1|719|21|11|345|Estrato 345|6|Estrato 6|41|199|320|4|15|0|0|1|72|0|0|2|1|0|0|0|0|0|0|0|4|618|199|339|4|72|2018|7|1|21|32|21|1|N
31|1|139|B|1|0|3|510|32|10|343|Estrato 343|4|Estrato 4|66|126|209|1|41|2|1|2|33|1|1|0|1|0|0|0|0|0|1|0|2|421|128|253|1|37|2018|7|1|20|17|5|1|N
31|1|191|B|1|0|2|628|40|15|343|Estrato 343|4|Estrato 4|70|140|265|3|3|7|2|2|78|0|1|0|2|0|0|2|0|0|0|0|21|526|143|272|3|87|2018|7|1|22|53|37|1|N
31|1|193|B|1|0|1|542|40|15|0||4|Estrato 4|15|123|226|1|7|0|0|0|57|0|0|0|0|0|0|0|0|0|0|0|17|431|123|233|1|57|2018|7|1|20|34|17|1|N
31|1|193|C|2|0|1|541|40|15|0||4|Estrato 4|15|120|194|3|2|7|4|0|76|1|0|0|1|0|0|1|0|0|2|4|0|415|124|197|3|87|2018|7|1|20|41|47|1|N
